ensembl_gene_id	Untreated1	Untreated2	Treated1	Treated2
ENSDARG00000093639	0.861683158	1.931144222	0.104150784	0.140556045
ENSDARG00000094508	0.985757541	2.025635237	0.154991704	0.203016091
ENSDARG00000095893	0.849888946	1.987557997	0.231796863	0.209251229
ENSDARG00000095252	0.924299649	2.085761978	0.256226434	0.246690787
ENSDARG00000078878	0.357173433	0.465390812	0.116722124	0.097102368
ENSDARG00000079403	1.060407116	1.258139786	0.388483583	0.315672991
ENSDARG00000002204	9.092518604	31.12716164	4.527339508	4.054036602
ENSDARG00000055723	4.779032646	13.17288088	22.71860987	13.65496073
ENSDARG00000029688	4.867967029	13.4375844	23.23490488	13.93410506
ENSDARG00000042529	1.560472787	1.870748105	0.454727762	0.385330834
ENSDARG00000092362	5.009510816	13.83055775	24.07434964	14.51932647
ENSDARG00000021924	5.175104833	14.24801669	23.30148282	14.0825722
ENSDARG00000030722	0.120367047	0.460006125	0.107469454	0.065052345
ENSDARG00000041257	0.483280751	0.969216886	0.274004649	0.231113297
ENSDARG00000018881	47.33658812	41.65405693	10.60658386	11.48802805
ENSDARG00000076554	2.677593327	3.268604284	0.94253042	0.819957972
ENSDARG00000039957	0.392813979	0.405382605	0.135920372	0.127382288
ENSDARG00000058365	1.103206658	2.199493698	0.742617069	0.477536371
ENSDARG00000074656	18.81596975	21.96187462	4.432477413	6.17743053
ENSDARG00000071331	9.674644185	11.26551847	4.384309945	3.288402516
ENSDARG00000004177	0.701553836	1.327230788	0.493993314	0.355768669
ENSDARG00000052960	1.522859981	2.329832317	0.881400416	0.58715821
ENSDARG00000071113	0.52020583	0.616617508	0.240459153	0.235485248
ENSDARG00000003684	0.648658431	1.297199373	0.459754212	0.355420095
ENSDARG00000011373	1.872924944	1.692197077	0.867694471	0.652029466
ENSDARG00000004082	2.437761112	3.318201546	1.45718723	1.042669566
ENSDARG00000079675	3.490158255	4.189300712	1.955746553	1.448603875
ENSDARG00000076241	30.95512455	26.19642544	12.41637183	10.06498411
ENSDARG00000014587	12.39732951	14.52215976	6.144864195	4.879147419
ENSDARG00000033443	8.108058899	8.204065791	3.898872456	3.109959035
ENSDARG00000087525	0.263331252	0.377948481	0.125625029	0.10148858
ENSDARG00000009341	2.343268132	3.285922249	1.566176427	1.018118504
ENSDARG00000014488	4.404716771	6.53551138	2.855407608	1.836893776
ENSDARG00000077403	9.123508894	9.87221538	5.397907788	3.160750941
ENSDARG00000058603	2.302527625	2.898352452	1.312730015	1.047419124
ENSDARG00000016651	4.901281991	5.123668146	2.587517239	1.941351699
ENSDARG00000003750	9.467275146	9.990389439	4.748813558	3.558225752
ENSDARG00000045857	3.439901391	4.175933601	2.25888315	1.426091262
ENSDARG00000008487	3.208660274	3.784728547	1.743457054	1.495112361
ENSDARG00000057648	4.890701808	5.26606378	2.604738238	1.980986823
ENSDARG00000058158	3.891860148	3.998883993	1.882622547	1.618759506
ENSDARG00000079783	9.090409408	9.21580326	4.671155474	3.913563522
ENSDARG00000038131	7.415760318	7.341200456	3.438737779	3.264319169
ENSDARG00000069375	11.39751259	14.10241678	5.511221976	4.12765181
ENSDARG00000075759	1.396851035	1.798048177	0.9772583	0.654003525
ENSDARG00000029764	6.774537928	7.772999025	4.258985312	3.064763293
ENSDARG00000029596	9.528591169	8.201030955	3.663043377	3.862060532
ENSDARG00000042552	9.059240805	8.810515831	4.159681394	3.499019686
ENSDARG00000032630	6.855270124	7.34224879	3.374190976	3.46110657
ENSDARG00000076667	511.2136186	450.5814901	204.3871522	213.1903481
ENSDARG00000008433	11.79441353	14.17860632	7.797437771	5.649180779
ENSDARG00000007354	42.47459159	41.28568533	70.41018125	75.25440527
ENSDARG00000058160	0.69235994	0.966125005	2.29739962	1.49863057
ENSDARG00000020794	2.154056752	2.225038997	4.753935029	3.757503796
ENSDARG00000093768	4.518497875	4.261572787	8.959534846	7.628623917
ENSDARG00000004577	2.027385905	2.103713052	3.493379487	4.005266237
ENSDARG00000033567	3.797043641	3.322119527	8.418938202	6.645337792
ENSDARG00000035987	6.278181214	6.378979824	10.16111195	13.30954607
ENSDARG00000092693	221.4884231	214.2247197	352.3316328	444.2360069
ENSDARG00000053499	2.946815564	2.570882384	6.026576306	5.606162443
