GeneName,Ensembl,Pathway,ExpressionResults_Sample1.txt,ExpressionResults_Sample10.txt,ExpressionResults_Sample2.txt,ExpressionResults_Sample3.txt,ExpressionResults_Sample4.txt,ExpressionResults_Sample5.txt,ExpressionResults_Sample6.txt,ExpressionResults_Sample7.txt,ExpressionResults_Sample8.txt,ExpressionResults_Sample9.txt
Gene_1,Ens_1001,DNA_Binding,3.44846563987026,7.66548839169485,5.25006302043491,5.96892696920646,6.86825089096853,5.3670997311762,5.18968594354462,3.88292998372962,5.32925755570744,6.16745141539952
Gene_10,Ens_10010,DNA_Binding,5.31418003424648,7.81350089972885,5.36117009872985,5.30597996598656,6.74285499113302,5.95778609393057,6.29309824468957,7.36149738759809,6.64942829614812,6.21391042472295
Gene_100,Ens_100100,DNA_Binding,5.59161223979587,5.18650033440264,6.84049671466061,5.19771016629157,5.92293056176568,6.81315375983245,6.22817817855685,5.83157506837314,6.65315213373495,3.99255496700022
Gene_1000,Ens_1001000,DNA_Binding,12.0858788656701,10.6102745446218,10.065772002692,9.97316561940904,9.49862970682914,9.30401823687779,9.873054041206,10.8376333810431,10.920294450288,10.5520544670798
Gene_1001,Ens_1001001,Glycolysis,8.89115687775838,9.26841141608795,8.4017643966621,7.23044743860267,6.60617555147418,6.65573372835668,7.53426646689467,7.5389222881951,8.0175309250672,6.83902126602942
Gene_1002,Ens_1001002,DNA_Binding,6.12944602061432,6.8708493942579,7.10420513531315,7.43335682470841,8.49577238836057,7.20038311690276,7.21168968404388,8.72668447590702,8.86035131864092,8.97010161761416
Gene_1003,Ens_1001003,DNA_Binding,8.69563681518606,8.84181304315385,8.51321981789173,8.65191952510006,7.24955620885061,8.30444057687483,8.83502007983443,7.52736097242161,7.50864060441956,9.05699010830986
Gene_1004,Ens_1001004,TGFb,7.95713500492284,10.2031585026639,4.95461654562392,7.1107921137583,9.1421443755868,9.3103184581983,7.37769583656501,7.71799442605234,8.34151961279786,9.56033028034183
Gene_1005,Ens_1001005,DNA_Binding,7.87804841637127,7.35161802506284,8.43324454615347,5.16807537748019,8.5463732166424,9.00316785321583,8.10698849218926,10.0857566769422,8.89351761254001,9.84867448671618
Gene_1006,Ens_1001006,DNA_Binding,8.47819385093485,7.63759085207461,6.56723504128081,8.01505501894324,8.60455286382232,7.47248297416764,7.13774503204092,8.07464997833885,8.10407901686197,7.01384814896896
