chr	start	end	strand	ens	Symbol
chr9	105729415	105731415	-	ENSMUSG00000043719	Col6a6
chr18	43636450	43638450	-	ENSMUSG00000043424	Gm9781
chr7	70356455	70358455	-	ENSMUSG00000030525	Chrna7
chrX	100818093	100820093	-	ENSMUSG00000086370	B230206F22Rik
chr12	82881157	82883157	-	ENSMUSG00000042724	Map3k9
chr7	152124774	152126774	-	ENSMUSG00000070348	Ccnd1
chr7	71431539	71433539	+	ENSMUSG00000030522	Mtmr10
chr14	56562498	56564498	-	ENSMUSG00000022225	Cma1
chr11	50170381	50172381	-	ENSMUSG00000076450	Mir804
chr5	5693578	5695578	-	ENSMUSG00000015653	Steap2
chr7	63274324	63276324	-	ENSMUSG00000047037	Nipa1
chr13	23666632	23668632	+	ENSMUSG00000062808	Hist1h3d
chr9	21855467	21857467	-	ENSMUSG00000003410	Elavl3
chr4	43070825	43072825	+	ENSMUSG00000028456	Unc13b
chr19	37506377	37508377	+	ENSMUSG00000024986	Hhex
chr16	81199942	81201942	+	ENSMUSG00000022762	Ncam2
chr6	122435340	122437340	-	ENSMUSG00000040649	Rimklb
chr4	116547070	116549070	-	ENSMUSG00000082063	Gm12993
chr11	103499204	103501204	-	ENSMUSG00000020945	Lyzl6
chrX	54755934	54757934	-	ENSMUSG00000036357	Gpr101
chr1	72870077	72872077	+	ENSMUSG00000039323	Igfbp2
chr15	10881087	10883087	+	ENSMUSG00000058914	C1qtnf3
chr5	120074951	120076951	+	ENSMUSG00000085708	Gm16063
chr11	69614359	69616359	-	ENSMUSG00000042826	Fgf11
chr13	112780674	112782674	+	ENSMUSG00000086402	Gm15322
chr7	87515072	87517072	-	ENSMUSG00000038886	Man2a2
chr4	133573062	133575062	+	ENSMUSG00000087288	Gm13061
chr4	151530599	151532599	-	ENSMUSG00000081544	Gm13077
chr16	34649007	34651007	+	ENSMUSG00000022832	Ropn1
chr2	172072992	172074992	+	ENSMUSG00000038537	Mc3r
chr2	103386416	103388416	+	ENSMUSG00000081687	Gm13996
chr14	75854789	75856789	+	ENSMUSG00000091722	Siah3
chr11	58598641	58600641	+	ENSMUSG00000059504	Olfr314
chr18	37580072	37582072	+	ENSMUSG00000051486	Pcdhb11
chr13	42395639	42397639	+	ENSMUSG00000021367	Edn1
chr16	30549928	30551928	-	ENSMUSG00000022537	Tmem44
chr11	97011809	97013809	-	ENSMUSG00000038517	Tbkbp1
chr2	72650774	72652774	-	ENSMUSG00000085427	6430710C18Rik
chr7	133989930	133991930	+	ENSMUSG00000052301	Doc2a
chr11	43197984	43199984	+	ENSMUSG00000084889	Gm12148
chr7	149131018	149133018	-	ENSMUSG00000092536	Gm20501
chr3	67867864	67869864	+	ENSMUSG00000027777	Schip1
chr7	94393606	94395606	+	ENSMUSG00000030562	Nox4
chr2	80441890	80443890	+	ENSMUSG00000083284	Gm13688
chr11	76714661	76716661	+	ENSMUSG00000020839	Tmigd1
chr15	38907478	38909478	+	ENSMUSG00000054196	Cthrc1
chr6	116665931	116667931	-	ENSMUSG00000048108	Tmem72
chr7	108079675	108081675	-	ENSMUSG00000032875	Arhgef17
chr17	15070658	15072658	-	ENSMUSG00000046991	Wdr27
chr14	65884538	65886538	+	ENSMUSG00000034532	Fbxo16
chr13	21844992	21846992	+	ENSMUSG00000069271	Hist1h2bn
chr4	62832165	62834165	-	ENSMUSG00000028357	Kif12
chr3	104583758	104585758	-	ENSMUSG00000055865	Fam19a3
chr18	5164729	5166729	-	ENSMUSG00000085461	Gm16954
chr11	97846758	97848758	-	ENSMUSG00000017417	Plxdc1
chr4	133793314	133795314	-	ENSMUSG00000028841	Cnksr1
chr15	82812300	82814300	+	ENSMUSG00000090940	AW121686
chr11	51670155	51672155	-	ENSMUSG00000020387	Phf15
chr7	126903437	126905437	+	ENSMUSG00000030935	Acsm3
chr15	8659764	8661764	-	ENSMUSG00000005360	Slc1a3
chr2	9826805	9828805	+	ENSMUSG00000075534	Gm13262
chr9	107837251	107839251	+	ENSMUSG00000032936	Camkv
chr15	98835487	98837487	+	ENSMUSG00000064081	Gm8973
chr18	3506955	3508955	+	ENSMUSG00000024232	Bambi
chr14	14116294	14118294	+	ENSMUSG00000056296	Synpr
chr8	58418257	58420257	+	ENSMUSG00000038257	Glra3
chr14	47194522	47196522	-	ENSMUSG00000085123	Gm15219
chr9	40611831	40613831	+	ENSMUSG00000064791	Snord14e
chr14	55554307	55556307	+	ENSMUSG00000040759	Cmtm5
chr8	49183446	49185446	+	ENSMUSG00000031562	Dctd
chr11	71850011	71852011	-	ENSMUSG00000040554	Aipl1
chr19	34624184	34626184	+	ENSMUSG00000045932	Ifit2
chr10	88066897	88068897	-	ENSMUSG00000020061	Mybpc1
chr13	21841374	21843374	-	ENSMUSG00000064288	Hist1h4k
chr2	165212759	165214759	-	ENSMUSG00000017667	Zfp334
chr11	78639086	78641086	+	ENSMUSG00000072640	1810012P15Rik
chr7	52881858	52883858	+	ENSMUSG00000044562	Rasip1
chr3	146313281	146315281	-	ENSMUSG00000090202	4930503B20Rik
chr3	153387026	153389026	-	ENSMUSG00000052544	St6galnac3
chr18	60907304	60909304	-	ENSMUSG00000054008	Ndst1
chr13	96387414	96389414	-	ENSMUSG00000048376	F2r
chr4	9196062	9198062	-	ENSMUSG00000091467	Gm17240
chr1	195098382	195100382	-	ENSMUSG00000009633	G0s2
chr9	121667906	121669906	-	ENSMUSG00000091138	E530011L22Rik
chrX	91233158	91235158	-	ENSMUSG00000080995	Gm15165
chr12	102145408	102147408	-	ENSMUSG00000047415	Gpr68
chr4	62140085	62142085	+	ENSMUSG00000028392	Bspry
chr8	46494962	46496962	-	ENSMUSG00000031639	Tlr3
chr11	105223566	105225566	+	ENSMUSG00000086487	Gm11638
chr11	62564413	62566413	+	ENSMUSG00000072843	Gm10428
chr7	53354607	53356607	-	ENSMUSG00000070561	Kcnj11
chr16	14290501	14292501	-	ENSMUSG00000018830	Myh11
